Task ID,Task Link,Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Subtasks IDs,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text,Home Location ID,Home Location,Other Location IDs,Other Locations
86exjhtt5,https://app.clickup.com/t/86exjhtt5,"TSK-07 Seed student user","",done,1778501879458,"5/11/2026, 3:17:59 PM GMT+3",,"",,"",86exjhr0v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtt7,https://app.clickup.com/t/86exjhtt7,"TSK-08 Implement studentLogin()","",done,1778501879711,"5/11/2026, 3:17:59 PM GMT+3",,"",,"",86exjhr0v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhr0y,https://app.clickup.com/t/86exjhr0y,"US-C Role/course authorization","",done,1778501633104,"5/11/2026, 3:13:53 PM GMT+3",,"",,"",null,"86exjhtvb,86exjhtve,86exjhtvg,86exjhtvj,86exjhtvk,86exjhtvm,86exjhtvn","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtvg,https://app.clickup.com/t/86exjhtvg,"TSK-13 Implement require_user()","",done,1778501894032,"5/11/2026, 3:18:14 PM GMT+3",,"",,"",86exjhr0y,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtvj,https://app.clickup.com/t/86exjhtvj,"TSK-14 Implement require_instructor()","",done,1778501894402,"5/11/2026, 3:18:14 PM GMT+3",,"",,"",86exjhr0y,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtvm,https://app.clickup.com/t/86exjhtvm,"TSK-16 Implement require_course_access()","",done,1778501895249,"5/11/2026, 3:18:15 PM GMT+3",,"",,"",86exjhr0y,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtxb,https://app.clickup.com/t/86exjhtxb,"TSK-18 Implement listMyCourses()","",done,1778501905274,"5/11/2026, 3:18:25 PM GMT+3",,"",,"",86exjhr11,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtxh,https://app.clickup.com/t/86exjhtxh,"TSK-20 Test only assigned courses returned","",done,1778501905908,"5/11/2026, 3:18:25 PM GMT+3",,"",,"",86exjhr11,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtzp,https://app.clickup.com/t/86exjhtzp,"TSK-23 Add /instructor/activities route","",done,1778501916971,"5/11/2026, 3:18:36 PM GMT+3",,"",,"",86exjhr1a,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtzv,https://app.clickup.com/t/86exjhtzv,"TSK-24 Test deterministic order by activity_no","",done,1778501917319,"5/11/2026, 3:18:37 PM GMT+3",,"",,"",86exjhr1a,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhr1e,https://app.clickup.com/t/86exjhr1e,"US-F Create activity","",done,1778501633969,"5/11/2026, 3:13:53 PM GMT+3",,"",,"",null,"86exjhu18,86exjhu1a,86exjhu1c,86exjhu1e,86exjhu1h","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu1c,https://app.clickup.com/t/86exjhu1c,"TSK-27 Reject duplicate activity_no","",done,1778501926527,"5/11/2026, 3:18:46 PM GMT+3",,"",,"",86exjhr1e,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu33,https://app.clickup.com/t/86exjhu33,"TSK-31 Implement endActivity()","",done,1778501936913,"5/11/2026, 3:18:56 PM GMT+3",,"",,"",86exjhr1p,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhu3c,https://app.clickup.com/t/86exjhu3c,"TSK-34 Test status transitions","",done,1778501938180,"5/11/2026, 3:18:58 PM GMT+3",,"",,"",86exjhr1p,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
86exjhtt8,https://app.clickup.com/t/86exjhtt8,"TSK-09 Add /student/login route","",done,1778501879964,"5/11/2026, 3:17:59 PM GMT+3",,"",,"",86exjhr0v,"","[]","[]","[]",null,"Sprint 1","","LLMProject","","","{}","[]","0", "",,NaN,,"901818041645","LLMProject > Sprint 1","",""
